time(ms),voltage_0,voltage_1
0.0,0.57006836,0.7458496
0.025999999,0.57006836,0.7434082
0.051999997,0.56640625,0.72509766
0.078,0.5505371,0.72631836
0.103999995,0.5493164,0.72387695
0.13,0.546875,0.703125
0.156,0.49194336,0.80200195
0.18199998,0.60791016,0.8239746
0.20799999,0.6274414,0.84106445
0.234,0.64453125,0.83984375
0.26,0.64697266,0.8605957
0.28599998,0.64453125,0.8618164
0.312,0.6652832,0.88134766
0.33799997,0.6652832,0.9008789
0.36399996,0.68481445,0.9008789
0.39,0.68481445,0.92041016
0.41599998,0.68725586,0.92163086
0.44199997,0.7043457,0.92041016
0.468,0.7067871,0.9411621
0.494,0.72387695,0.9375
0.52,0.72509766,0.95825195
0.546,0.7421875,0.95703125
0.57199997,0.7434082,0.9790039
0.598,0.7434082,0.9765625
0.624,0.7458496,0.99731445
0.65,0.76171875,0.9008789
0.67599994,0.68359375,0.87890625
0.70199996,0.6665039,0.8630371
0.7279999,0.64819336,0.8605957
0.75399995,0.64453125,0.83984375
0.78,0.6286621,0.84106445
0.80599993,0.625,0.8203125
0.83199996,0.6262207,0.80322266
0.858,0.60913086,0.80444336
0.88399994,0.60791016,0.80200195
0.90999997,0.60546875,0.78125
0.936,0.5895996,0.76538086
0.96199995,0.5895996,0.76538086
0.988,0.5859375,0.76171875
1.0139999,0.56640625,0.7421875
1.04,0.56640625,0.7421875
1.066,0.546875,0.72509766
1.092,0.5505371,0.72387695
1.1179999,0.546875,0.7055664
1.1439999,0.546875,0.68359375
1.17,0.60546875,0.80322266
1.196,0.6274414,0.8239746
1.222,0.64819336,0.84106445
1.248,0.64697266,0.8605957
1.2739999,0.64453125,0.8618164
1.3,0.6640625,0.8618164
1.3259999,0.6677246,0.88012695
1.3519999,0.68359375,0.8984375
1.3779999,0.68359375,0.9008789
1.4039999,0.68725586,0.91918945
1.43,0.703125,0.92041016
1.4559999,0.7067871,0.9411621
1.482,0.7043457,0.9399414
1.5079999,0.72387695,0.95703125
1.5339998,0.72265625,0.95947266
1.56,0.7421875,0.95947266
1.586,0.7458496,0.9802246
1.6119999,0.7446289,0.9802246
1.638,0.76538086,0.99731445
1.6639999,0.68603516,0.8996582
1.6899998,0.6640625,0.88134766
1.716,0.64819336,0.8630371
1.7419999,0.64575195,0.84228516
1.7679999,0.64453125,0.83984375
1.7939999,0.625,0.8227539
1.8199999,0.6262207,0.8227539
1.8459998,0.60668945,0.80322266
1.872,0.60913086,0.80200195
1.8979999,0.60546875,0.78125
1.9239999,0.60546875,0.78125
1.9499999,0.5859375,0.76416016
1.976,0.5859375,0.76416016
2.0019999,0.5871582,0.7421875
2.0279999,0.56884766,0.7434082
2.054,0.56640625,0.7421875
2.08,0.5505371,0.72387695
2.106,0.5493164,0.72631836
2.132,0.546875,0.7055664
2.1579998,0.49194336,0.80444336
2.184,0.60913086,0.8239746
2.2099998,0.6262207,0.83984375
2.2359998,0.64453125,0.84228516
2.2619998,0.64819336,0.8630371
2.2879999,0.64819336,0.8630371
2.314,0.6677246,0.88012695
2.34,0.68359375,0.8984375
2.366,0.68359375,0.8984375
2.392,0.68725586,0.91918945
2.418,0.68359375,0.92041016
2.444,0.7043457,0.92041016
2.4699998,0.7067871,0.9411621
2.496,0.72509766,0.9411621
2.5219998,0.72631836,0.96069336
2.5479999,0.7421875,0.95947266
2.574,0.7458496,0.9802246
2.6,0.7458496,0.9802246
2.626,0.76538086,0.99731445
2.6519997,0.76538086,0.9020996
2.678,0.68481445,0.87890625
2.7039998,0.6652832,0.8618164
2.7299998,0.64819336,0.8630371
2.7559998,0.64697266,0.84106445
2.7819998,0.6274414,0.84350586
2.8079998,0.6274414,0.8239746
2.8339999,0.60668945,0.80322266
2.86,0.60913086,0.80200195
2.886,0.60791016,0.7824707
2.9119997,0.60546875,0.7836914
2.9379997,0.5871582,0.76171875
2.964,0.5859375,0.76171875
2.9899998,0.5883789,0.76293945
3.0159998,0.57006836,0.7434082
3.042,0.56884766,0.7434082
3.0679996,0.5505371,0.72631836
3.0939999,0.5505371,0.72387695
3.12,0.546875,0.7055664
3.1459997,0.5505371,0.72387695
3.172,0.60913086,0.80444336
3.198,0.6286621,0.84106445
3.2239997,0.64453125,0.83984375
3.2499998,0.64697266,0.8605957
3.276,0.64819336,0.8630371
3.3019998,0.6652832,0.859375
3.3279998,0.6665039,0.88012695
3.3539999,0.68603516,0.8996582
3.3799996,0.68603516,0.9020996
3.406,0.68725586,0.92163086
3.432,0.7043457,0.92041016
3.4579997,0.7067871,0.9411621
3.4839997,0.7067871,0.9387207
3.51,0.72509766,0.96069336
3.5359998,0.72631836,0.96069336
3.5619998,0.7458496,0.95825195
3.5879998,0.7434082,0.9765625
3.6139996,0.7446289,0.9802246
3.6399999,0.76171875,0.99853516
3.666,0.68725586,0.88012695
3.6919997,0.6677246,0.8630371
3.718,0.64819336,0.8630371
3.744,0.64697266,0.84350586
3.7699997,0.64819336,0.84106445
3.7959998,0.6286621,0.8215332
3.822,0.6274414,0.80444336
3.8479998,0.60546875,0.80322266
3.8739998,0.60913086,0.76293945
