time(ms),voltage_0,voltage_1
0.0,0.37109375,0.46875
0.10399999,0.3540039,0.45288086
0.20799997,0.33447266,0.4333496
0.31199998,0.33569336,0.41137695
0.41599995,0.25756836,0.52856445
0.52,0.41015625,0.5883789
0.62399995,0.4699707,0.6274414
0.7279999,0.5114746,0.68481445
0.8319999,0.546875,0.7421875
0.936,0.5859375,0.78125
1.04,0.60791016,0.8239746
1.1439999,0.64575195,0.8618164
1.2479999,0.6677246,0.9020996
1.352,0.7043457,0.9375
1.4559999,0.72509766,0.9777832
1.5600001,0.7421875,0.99853516
1.6639998,0.78125,1.0375977
1.7679999,0.80200195,1.0571289
1.872,0.8215332,1.0961914
1.976,0.84106445,1.1132812
2.08,0.8618164,1.1364746
2.184,0.88256836,1.1730957
2.2879999,0.9020996,1.1950684
2.3919997,0.91918945,1.2109375
2.4959998,0.9387207,1.2304688
2.6,0.95947266,1.2536621
2.704,0.9765625,1.2719727
2.8079998,0.9802246,1.3122559
2.9119997,1.0192871,1.192627
3.0159998,0.87890625,1.1157227
3.1200001,0.8239746,1.0583496
3.2239997,0.7849121,1.0192871
3.3279996,0.76171875,0.95947266
3.432,0.72631836,0.91918945
3.5359998,0.68603516,0.88012695
3.6399999,0.6665039,0.84106445
3.744,0.6262207,0.80078125
3.8479996,0.60791016,0.76293945
3.952,0.56884766,0.7434082
4.0559998,0.546875,0.7055664
4.16,0.52856445,0.6665039
4.264,0.5114746,0.64575195
4.368,0.4724121,0.6262207
4.4719996,0.44921875,0.5883789
4.5759997,0.4333496,0.57006836
4.68,0.4309082,0.546875
4.7839994,0.3942871,0.5114746
4.888,0.3942871,0.48950195
4.9919996,0.37231445,0.4711914
5.0959997,0.3552246,0.45288086
5.2,0.33447266,0.4333496
5.304,0.33569336,0.41137695
5.408,0.3125,0.5078125
5.5119996,0.41259766,0.5895996
5.6159997,0.46875,0.6274414
5.72,0.5114746,0.68481445
5.8239994,0.546875,0.72509766
5.9279995,0.57006836,0.7849121
6.0319996,0.60791016,0.8239746
6.1359997,0.6262207,0.8618164
6.2400002,0.6677246,0.8996582
6.3439994,0.703125,0.9375
6.4479995,0.72387695,0.95947266
6.552,0.7458496,0.99975586
6.655999,0.78125,1.0351562
6.7599993,0.80078125,1.0571289
6.864,0.8227539,1.0974121
6.968,0.84106445,1.1132812
7.0719995,0.8618164,1.1364746
7.1759996,0.88256836,1.1730957
7.2799997,0.9008789,1.1950684
7.3839993,0.91918945,1.2109375
7.488,0.9387207,1.2304688
7.592,0.95947266,1.2512207
7.695999,0.96069336,1.2731934
7.7999997,0.9802246,1.2927246
7.904,0.99975586,1.192627
8.007999,0.87890625,1.1157227
8.1119995,0.83984375,1.0742188
8.216,0.80078125,1.015625
8.32,0.76171875,0.9765625
8.424,0.72265625,0.91796875
8.528,0.68725586,0.88256836
8.632,0.64819336,0.84350586
8.736,0.6274414,0.80444336
8.839999,0.60913086,0.76293945
8.943999,0.57006836,0.7434082
9.048,0.546875,0.703125
9.151999,0.52734375,0.6665039
9.256,0.5114746,0.64575195
9.36,0.4724121,0.6262207
9.464,0.44921875,0.5883789
9.567999,0.44921875,0.56640625
9.672,0.41259766,0.5505371
9.776,0.41015625,0.52734375
9.879999,0.390625,0.48828125
9.983999,0.37231445,0.4711914
10.087999,0.3552246,0.45288086
10.191999,0.33569336,0.4333496
10.296,0.33569336,0.4309082
10.4,0.3125,0.5102539
10.503999,0.41137695,0.56640625
10.608,0.45288086,0.6262207
10.712,0.49072266,0.68725586
10.816,0.53100586,0.72387695
10.919999,0.56884766,0.76293945
11.023999,0.60668945,0.8203125
11.127998,0.64453125,0.859375
11.231999,0.6652832,0.8984375
11.336,0.68359375,0.9399414
11.44,0.72387695,0.95703125
11.544,0.7446289,0.99975586
11.647999,0.78125,1.0351562
11.752,0.80078125,1.0546875
11.855999,0.8215332,1.09375
11.959999,0.83984375,1.1157227
12.063999,0.8605957,1.1352539
12.167999,0.88256836,1.1730957
12.271999,0.8996582,1.1938477
12.375999,0.91918945,1.2109375
12.4800005,0.9387207,1.2304688
12.583999,0.95947266,1.2512207
12.687999,0.96069336,1.2731934
12.792,0.9802246,1.2927246
12.895999,0.99975586,1.192627
13.0,0.88134766,1.1364746
13.104,0.84106445,1.0742188
13.207998,0.80078125,1.0180664
13.311998,0.76293945,0.9765625
13.415999,0.72265625,0.9375
13.519999,0.68725586,0.88256836
13.624,0.6677246,0.84350586
13.728,0.6274414,0.80444336
13.831999,0.60913086,0.7824707
13.936,0.57006836,0.7458496
14.039999,0.5480957,0.703125
14.143999,0.52856445,0.68603516
14.247999,0.5090332,0.64697266
14.351999,0.48828125,0.625
14.455999,0.44921875,0.5883789
14.559999,0.44921875,0.56640625
14.6640005,0.41259766,0.5505371
14.767999,0.41137695,0.52978516
14.871999,0.3918457,0.48828125
14.976,0.37353516,0.4724121
15.079999,0.3552246,0.45043945
15.184,0.33569336,0.45043945
15.288,0.33203125,0.41015625
15.391998,0.3149414,0.5090332
15.495998,0.41259766,0.48950195
