time(ms),voltage_0,voltage_1
0.0,0.08178711,2.034912
0.025999999,0.0793457,2.0141602
0.051999997,0.078125,2.0141602
0.078,0.059814453,1.9946289
0.103999995,0.06225586,1.9958496
0.13,0.059814453,1.9946289
0.156,0.05859375,1.9750977
0.18199998,0.059814453,1.953125
0.20799999,0.04272461,1.9567871
0.234,0.040283203,1.9360352
0.26,0.0390625,1.9335938
0.28599998,0.080566406,2.052002
0.312,0.08178711,2.0739746
0.33799997,0.09887695,2.0922852
0.36399996,0.1171875,2.0922852
0.39,0.12084961,2.1105957
0.41599998,0.12084961,2.130127
0.44199997,0.13671875,2.1289062
0.468,0.13793945,2.1484375
0.494,0.13671875,2.1484375
0.52,0.14038086,2.1716309
0.546,0.1574707,2.1875
0.57199997,0.15991211,2.191162
0.598,0.1574707,2.1899414
0.624,0.17700195,2.2070312
0.65,0.17578125,2.2094727
0.67599994,0.17944336,2.2302246
0.70199996,0.1965332,2.229004
0.7279999,0.1977539,2.2473145
0.75399995,0.21484375,2.2460938
0.78,0.23803711,2.1496582
0.80599993,0.13671875,2.1118164
0.83199996,0.13793945,2.109375
0.858,0.13671875,2.0898438
0.88399994,0.12084961,2.0739746
0.90999997,0.12084961,2.0715332
0.936,0.10131836,2.0544434
0.96199995,0.10131836,2.0544434
0.988,0.08178711,2.0324707
1.0139999,0.080566406,2.0153809
1.04,0.0793457,2.0117188
1.066,0.061035156,2.0153809
1.092,0.06225586,1.9934082
1.1179999,0.061035156,1.9958496
1.1439999,0.05859375,1.9750977
1.17,0.06225586,1.9543457
1.196,0.04272461,1.9567871
1.222,0.04272461,1.9567871
1.248,0.0390625,1.9360352
1.2739999,0.02319336,2.0324707
1.3,0.08178711,2.0715332
1.3259999,0.09765625,2.0922852
1.3519999,0.10131836,2.0910645
1.3779999,0.119628906,2.1105957
1.4039999,0.1171875,2.1118164
1.43,0.12084961,2.1325684
1.4559999,0.13671875,2.1484375
1.482,0.13671875,2.150879
1.5079999,0.14038086,2.1691895
1.5339998,0.15625,2.1679688
1.56,0.15991211,2.1887207
1.586,0.17578125,2.1875
1.6119999,0.17700195,2.1899414
1.638,0.17944336,2.208252
1.6639999,0.17944336,2.2106934
1.6899998,0.19897461,2.2277832
1.716,0.19897461,2.2473145
1.7419999,0.21484375,2.2460938
1.7679999,0.21606445,2.2485352
1.7939999,0.14038086,2.1325684
1.8199999,0.13916016,2.113037
1.8459998,0.13793945,2.0898438
1.872,0.119628906,2.0935059
1.8979999,0.1184082,2.0703125
1.9239999,0.1171875,2.0532227
1.9499999,0.10131836,2.052002
1.976,0.09765625,2.0336914
2.0019999,0.08178711,2.034912
2.0279999,0.0793457,2.0141602
2.054,0.08178711,2.0129395
2.08,0.06225586,2.0129395
2.106,0.05859375,1.9921875
2.132,0.061035156,1.9934082
2.1579998,0.05859375,1.9726562
2.184,0.05859375,1.9555664
2.2099998,0.04272461,1.9567871
2.2359998,0.040283203,1.9360352
2.2619998,0.04272461,1.9348145
2.2879999,0.0793457,2.0532227
2.314,0.10131836,2.0715332
2.34,0.100097656,2.0935059
2.366,0.1184082,2.109375
2.392,0.1171875,2.1118164
2.418,0.1184082,2.1313477
2.444,0.13671875,2.1313477
2.4699998,0.14038086,2.1520996
2.496,0.14038086,2.1520996
2.5219998,0.14038086,2.1716309
2.5479999,0.1574707,2.1875
2.574,0.15625,2.1899414
2.6,0.17578125,2.1899414
2.626,0.17944336,2.208252
2.6519997,0.17944336,2.2106934
2.678,0.17944336,2.2302246
2.7039998,0.1965332,2.229004
2.7299998,0.19897461,2.2497559
2.7559998,0.21484375,2.2485352
2.7819998,0.23803711,2.1520996
2.8079998,0.14038086,2.113037
2.8339999,0.14038086,2.113037
2.86,0.13671875,2.0898438
2.886,0.119628906,2.0935059
2.9119997,0.1184082,2.072754
2.9379997,0.09887695,2.0532227
2.964,0.100097656,2.052002
2.9899998,0.078125,2.0336914
3.0159998,0.08178711,2.0153809
3.042,0.08178711,2.0153809
3.0679996,0.078125,2.0117188
3.0939999,0.05859375,1.9946289
3.12,0.061035156,1.9934082
3.1459997,0.05859375,1.9726562
3.172,0.05859375,1.9555664
3.198,0.04272461,1.9567871
3.2239997,0.040283203,1.953125
3.2499998,0.0390625,1.9335938
3.276,0.01953125,2.0507812
3.3019998,0.078125,2.0507812
3.3279998,0.09887695,2.0898438
3.3539999,0.09765625,2.0922852
3.3799996,0.1171875,2.1118164
3.406,0.1184082,2.1118164
3.432,0.12084961,2.130127
3.4579997,0.13916016,2.1520996
3.4839997,0.14038086,2.1520996
3.51,0.13793945,2.1704102
3.5359998,0.1574707,2.1679688
3.5619998,0.1586914,2.191162
3.5879998,0.15991211,2.191162
3.6139996,0.17700195,2.1875
3.6399999,0.17822266,2.208252
3.666,0.17822266,2.2106934
3.6919997,0.1965332,2.229004
3.718,0.1965332,2.2460938
3.744,0.21484375,2.2460938
3.7699997,0.21728516,2.208252
3.7959998,0.14038086,2.130127
3.822,0.13671875,2.109375
3.8479998,0.13671875,2.0922852
3.8739998,0.12084961,2.0910645
