time(ms),voltage_0,voltage_1
0.0,0.0,0.0024414062
1.04,0.0036621094,0.020751953
2.08,0.0,0.0024414062
3.1200001,0.0036621094,0.0012207031
4.16,0.0,0.0
5.2000003,0.0024414062,0.0012207031
6.2400002,0.0,0.0
7.2799997,0.0024414062,0.0012207031
8.32,0.0,0.0
9.360001,0.0024414062,0.0012207031
10.400001,0.0,0.0024414062
11.44,0.0012207031,0.0
12.4800005,0.0,0.0024414062
13.5199995,0.0012207031,0.0
14.559999,0.0,0.0
15.6,0.0,0.625
16.64,0.17700195,1.1547852
17.68,0.5090332,1.4868164
18.720001,0.7458496,1.7004395
19.76,0.8984375,1.8359375
20.800001,0.99975586,1.9152832
21.840002,1.0766602,1.9763184
22.88,1.114502,2.0117188
23.92,1.1547852,2.052002
24.960001,1.171875,2.0703125
26.000002,1.1914062,2.0703125
27.039999,1.1938477,2.0935059
28.079998,1.192627,2.0922852
29.119999,1.2109375,2.109375
30.160002,1.2109375,2.109375
31.2,1.2133789,2.113037
32.24,1.2121582,2.1118164
33.28,1.2304688,2.109375
34.320004,1.2133789,2.113037
35.36,1.2304688,2.1118164
36.399998,1.2341309,2.1105957
37.440002,1.2304688,2.1118164
38.48,1.2341309,2.1105957
39.52,1.2304688,2.1118164
40.56,1.2341309,2.113037
41.600002,1.2316895,2.1118164
42.64,1.2341309,2.1325684
43.680004,1.2316895,2.1289062
44.72,1.2304688,2.1289062
45.76,1.2329102,2.130127
46.800003,1.2304688,2.1289062
47.84,1.2329102,2.130127
48.88,1.2304688,2.1289062
49.920002,1.2329102,2.1325684
50.96,1.2316895,2.1289062
52.000004,1.2329102,2.1325684
53.039997,1.2316895,2.1289062
54.079998,1.2316895,2.1313477
55.120003,1.2316895,2.1289062
56.159996,1.2329102,2.1325684
57.200005,1.2316895,2.1289062
58.239998,1.2316895,2.1289062
59.280003,1.2304688,2.1289062
60.320004,1.2329102,2.130127
61.359997,1.2304688,2.1289062
62.4,1.2341309,2.130127
63.440002,1.2304688,2.1289062
64.48,1.2329102,2.1325684
65.520004,1.0168457,1.5625
66.56,0.53100586,1.1560059
67.6,0.2770996,0.92163086
68.64001,0.1184082,0.7446289
69.68,0.04272461,0.6286621
70.72,0.0024414062,0.5480957
71.76,0.0024414062,0.4699707
72.799995,0.0,0.41015625
73.84,0.0024414062,0.3527832
74.880005,0.0,0.3125
75.920006,0.0024414062,0.2746582
76.96,0.0,0.234375
78.0,0.0024414062,0.21606445
79.04,0.0,0.1953125
80.079994,0.0,0.15625
81.12,0.0,0.13916016
82.16,0.0036621094,0.1184082
83.200005,0.0,0.119628906
84.24,0.0012207031,0.09765625
85.28,0.0,0.078125
86.32,0.0024414062,0.0793457
87.36001,0.0,0.061035156
88.4,0.0036621094,0.059814453
89.44,0.0,0.05859375
90.48,0.0,0.0390625
91.52,0.0,0.041503906
92.56,0.0012207031,0.0390625
93.600006,0.0,0.0390625
94.64001,0.0,0.01953125
95.68,0.0,0.021972656
96.72,0.0012207031,0.01953125
97.76,0.0,0.01953125
98.799995,0.0,0.01953125
99.840004,0.0,0.0024414062
100.880005,0.0036621094,0.0012207031
101.92,0.0,0.0024414062
102.96,0.0036621094,0.0012207031
104.00001,0.0,0.0
105.04,0.0024414062,0.0012207031
106.079994,0.0,0.0024414062
107.12,0.0036621094,0.0012207031
108.159996,0.0,0.0024414062
109.2,0.0012207031,0.0
110.240005,0.0,0.0
111.28,0.0024414062,0.0012207031
112.31999,0.0,0.0
113.36,0.0024414062,0.0012207031
114.40001,0.0,0.0
115.44001,0.0,0.52734375
116.479996,0.1184082,1.09375
117.52,0.46875,1.4477539
118.560005,0.72387695,1.6601562
119.6,0.88134766,1.8200684
120.64001,0.99609375,1.8969727
121.68001,1.0583496,1.9763184
122.71999,1.1132812,2.0141602
123.759995,1.1340332,2.0336914
124.8,1.171875,2.0532227
125.84,1.1755371,2.0739746
126.880005,1.192627,2.0898438
127.920006,1.1914062,2.0922852
128.96,1.2121582,2.0922852
130.0,1.2145996,2.1105957
131.04001,1.2145996,2.1105957
132.08,1.2109375,2.1118164
133.12,1.2145996,2.1105957
134.16,1.2133789,2.113037
135.2,1.2304688,2.109375
136.24,1.2329102,2.1105957
137.28001,1.2304688,2.1118164
138.31999,1.2341309,2.113037
139.36,1.2316895,2.1118164
140.40001,1.2341309,2.113037
141.44,1.2316895,2.1118164
142.48001,1.2341309,2.113037
143.52,1.2316895,2.1289062
144.56,1.2304688,2.1289062
145.59999,1.2329102,2.130127
146.64,1.2304688,2.1289062
147.68,1.2329102,2.1325684
148.72,1.2316895,2.1289062
149.76001,1.2329102,2.130127
150.8,1.2304688,2.1313477
151.84001,1.2329102,2.1325684
152.88002,1.2316895,2.1289062
153.92,1.2304688,2.1289062
154.96,1.2329102,0.020751953
