time(ms),voltage_0,voltage_1
0.0,0.0,0.33447266
0.20799997,0.0012207031,0.3125
0.41599995,0.0,0.3149414
0.62399995,0.0012207031,0.3125
0.8319999,0.0,0.29296875
1.04,0.0024414062,0.4309082
1.2479999,0.0,0.5859375
1.4559999,0.01953125,0.7055664
1.6639998,0.08178711,0.84106445
1.872,0.17578125,0.9375
2.08,0.25634766,1.0388184
2.2879999,0.33569336,1.1364746
2.4959998,0.41259766,1.2121582
2.704,0.49072266,1.2902832
2.9119997,0.5493164,1.348877
3.1200001,0.60791016,1.4074707
3.3279996,0.6665039,1.4660645
3.5359998,0.72509766,1.5246582
3.744,0.76171875,1.5649414
3.952,0.80200195,1.6040039
4.16,0.83984375,1.6430664
4.368,0.88012695,1.6796875
4.5759997,0.9008789,1.7028809
4.7839994,0.92163086,1.7419434
4.9919996,0.95703125,1.7578125
5.2,0.9790039,1.7785645
5.408,0.99853516,1.8005371
5.6159997,1.0192871,1.817627
5.8239994,1.036377,1.8383789
6.0319996,1.0583496,1.8591309
6.2400002,1.0742188,1.8774414
6.4479995,1.0754395,1.8969727
6.655999,1.0961914,1.895752
6.864,1.1157227,1.9177246
7.0719995,1.1157227,1.9348145
7.2799997,1.1328125,1.9335938
7.488,1.1352539,1.9372559
7.695999,1.1560059,1.9543457
7.904,1.1535645,1.953125
8.1119995,1.1547852,1.9567871
8.32,1.171875,1.9750977
8.528,1.1730957,1.9750977
8.736,1.1743164,1.9934082
8.943999,1.171875,1.9946289
9.151999,1.1914062,1.9921875
9.36,1.1938477,1.9958496
9.567999,1.1938477,2.0129395
9.776,1.1914062,2.0141602
9.983999,1.1950684,2.0153809
10.191999,1.2121582,2.0117188
10.4,1.2121582,2.0117188
10.608,1.2133789,2.0129395
10.816,1.2133789,2.0153809
11.023999,1.2145996,1.8786621
11.231999,1.015625,1.71875
11.44,0.88134766,1.6027832
11.647999,0.78125,1.484375
11.855999,0.68603516,1.3879395
12.063999,0.5883789,1.3098145
12.271999,0.5078125,1.2304688
12.4800005,0.44921875,1.1547852
12.687999,0.3942871,1.0974121
12.895999,0.33447266,1.036377
13.104,0.29541016,0.99731445
13.311998,0.23803711,0.9387207
13.519999,0.1977539,0.9020996
13.728,0.17700195,0.8618164
13.936,0.13793945,0.8227539
14.143999,0.1184082,0.7836914
14.351999,0.10131836,0.76538086
14.559999,0.0793457,0.72509766
14.767999,0.06225586,0.7067871
14.976,0.04272461,0.68481445
15.184,0.0390625,0.6640625
15.391998,0.020751953,0.64453125
15.599999,0.01953125,0.625
15.808,0.0024414062,0.60668945
16.015999,0.0,0.5883789
16.223999,0.0,0.56884766
16.432,0.0012207031,0.546875
16.64,0.0,0.52734375
16.848,0.0024414062,0.5090332
17.056,0.0,0.49072266
17.264,0.0036621094,0.48950195
17.472,0.0,0.46875
17.679998,0.0024414062,0.45043945
17.887999,0.0,0.4321289
18.096,0.0036621094,0.4309082
18.303999,0.0,0.41259766
18.512,0.0036621094,0.41137695
18.72,0.0,0.390625
18.928,0.0024414062,0.3918457
19.135998,0.0,0.37109375
19.344,0.0024414062,0.3527832
19.552,0.0,0.3540039
19.759998,0.0012207031,0.33203125
19.967999,0.0,0.33447266
20.175999,0.0012207031,0.3125
20.383999,0.0,0.3149414
20.592,0.0012207031,0.3125
20.8,0.0,0.29296875
21.007998,0.0024414062,0.3918457
21.216,0.0,0.5493164
21.424,0.02319336,0.68481445
21.632,0.078125,0.8203125
21.839998,0.15625,0.91796875
22.047998,0.23803711,1.0192871
22.255997,0.33569336,1.114502
22.463999,0.41015625,1.2109375
22.672,0.46875,1.2695312
22.88,0.546875,1.3476562
23.088,0.60546875,1.40625
23.295998,0.64819336,1.4685059
23.504,0.7043457,1.5039062
23.711998,0.7446289,1.5637207
23.919998,0.80078125,1.6015625
24.127998,0.8239746,1.6418457
24.335999,0.859375,1.6601562
24.543999,0.8996582,1.7016602
24.751999,0.91918945,1.7211914
24.960001,0.9411621,1.7614746
25.167997,0.9777832,1.7797852
25.375998,0.99731445,1.7993164
25.584,1.0192871,1.8200684
25.791998,1.036377,1.8359375
26.0,1.0571289,1.8591309
26.208,1.0583496,1.8762207
26.415997,1.0742188,1.8774414
26.623997,1.0949707,1.8945312
26.831999,1.0961914,1.9177246
27.039997,1.114502,1.9165039
27.248,1.1364746,1.9348145
27.456,1.1352539,1.9372559
27.663998,1.1560059,1.9543457
27.872,1.1535645,1.953125
28.079998,1.1547852,1.9543457
28.287998,1.171875,1.9750977
28.495998,1.1730957,1.9750977
28.703999,1.1743164,1.9763184
28.911999,1.1950684,1.9934082
29.119999,1.1914062,1.9946289
29.328001,1.192627,1.9946289
29.535997,1.1938477,1.9958496
29.743998,1.2145996,2.0129395
29.952,1.2109375,2.0117188
30.159998,1.2109375,2.0141602
30.368,1.2121582,2.0117188
30.576,1.2133789,2.0129395
30.783997,1.2133789,2.0153809
30.991997,1.2145996,1.9152832
