time(ms),voltage_0,voltage_1
0.0,0.13671875,0.8203125
0.10399999,0.1171875,0.80078125
0.20799997,0.17822266,0.9387207
0.31199998,0.234375,0.99853516
0.41599995,0.2770996,1.0559082
0.52,0.3125,1.0961914
0.62399995,0.37231445,1.1523438
0.7279999,0.41015625,1.1914062
0.8319999,0.45166016,1.2341309
0.936,0.48950195,1.2719727
1.04,0.52734375,1.3110352
1.1439999,0.5480957,1.3476562
1.2479999,0.5871582,1.3867188
1.352,0.625,1.40625
1.4559999,0.64697266,1.4294434
1.5600001,0.68725586,1.4660645
1.6639998,0.703125,1.4868164
1.7679999,0.72631836,1.5270996
1.872,0.7458496,1.5466309
1.976,0.76293945,1.5649414
2.08,0.80078125,1.5820312
2.184,0.80322266,1.6052246
2.2879999,0.83984375,1.6235352
2.3919997,0.84350586,1.6442871
2.4959998,0.8630371,1.661377
2.6,0.88134766,1.6809082
2.704,0.80444336,1.5441895
2.8079998,0.7421875,1.4648438
2.9119997,0.68481445,1.4257812
3.0159998,0.625,1.3671875
3.1200001,0.5871582,1.3305664
3.2239997,0.5480957,1.2890625
3.3279996,0.5102539,1.2341309
3.432,0.4724121,1.192627
3.5359998,0.4333496,1.1730957
3.6399999,0.41015625,1.1328125
3.744,0.37353516,1.0949707
3.8479996,0.3540039,1.0754395
3.952,0.3161621,1.036377
4.0559998,0.29541016,1.0168457
4.16,0.2746582,0.9790039
4.264,0.25756836,0.95825195
4.368,0.234375,0.9375
4.4719996,0.21484375,0.91796875
4.5759997,0.1965332,0.8984375
4.68,0.17578125,0.88134766
4.7839994,0.1586914,0.84350586
4.888,0.14038086,0.84350586
4.9919996,0.13671875,0.8203125
5.0959997,0.1171875,0.80322266
5.2,0.15991211,0.92163086
5.304,0.23803711,0.99731445
5.408,0.2758789,1.0388184
5.5119996,0.33569336,1.0949707
5.6159997,0.37109375,1.1352539
5.72,0.41381836,1.1950684
5.8239994,0.45043945,1.2329102
5.9279995,0.48950195,1.2695312
6.0319996,0.52856445,1.3085938
6.1359997,0.546875,1.3305664
6.2400002,0.5871582,1.3671875
6.3439994,0.60791016,1.4099121
6.4479995,0.64575195,1.4282227
6.552,0.6677246,1.4660645
6.655999,0.703125,1.484375
6.7599993,0.72509766,1.5246582
6.864,0.7446289,1.5441895
6.968,0.76171875,1.5625
7.0719995,0.7849121,1.583252
7.1759996,0.80322266,1.6052246
7.2799997,0.83984375,1.6235352
7.3839993,0.84350586,1.6442871
7.488,0.8630371,1.661377
7.592,0.88134766,1.6809082
7.695999,0.92163086,1.5466309
7.7999997,0.7434082,1.4868164
7.904,0.68603516,1.427002
8.007999,0.64697266,1.3684082
8.1119995,0.5895996,1.3317871
8.216,0.5480957,1.2915039
8.32,0.5102539,1.2512207
8.424,0.46875,1.2133789
8.528,0.4333496,1.1730957
8.632,0.41015625,1.1352539
8.736,0.37475586,1.0974121
8.839999,0.3552246,1.0754395
8.943999,0.3161621,1.036377
9.048,0.29541016,1.0168457
9.151999,0.2758789,0.9802246
9.256,0.25756836,0.96069336
9.36,0.2368164,0.9411621
9.464,0.21606445,0.92041016
9.567999,0.1953125,0.8984375
9.672,0.17578125,0.88134766
9.776,0.1586914,0.8605957
9.879999,0.13671875,0.84228516
9.983999,0.13793945,0.8203125
10.087999,0.1171875,0.80322266
10.191999,0.059814453,0.91796875
10.296,0.2368164,0.9777832
10.4,0.2758789,1.036377
10.503999,0.3149414,1.0974121
10.608,0.37109375,1.1352539
10.712,0.41381836,1.1730957
10.816,0.45043945,1.2304688
10.919999,0.46875,1.2719727
11.023999,0.5114746,1.3098145
11.127998,0.546875,1.328125
11.231999,0.5859375,1.3696289
11.336,0.60913086,1.4099121
11.44,0.64575195,1.4257812
11.544,0.6665039,1.4685059
11.647999,0.703125,1.4868164
11.752,0.72631836,1.5075684
11.855999,0.7446289,1.5466309
11.959999,0.76293945,1.5649414
12.063999,0.7849121,1.583252
12.167999,0.80322266,1.6052246
12.271999,0.8239746,1.6247559
12.375999,0.84350586,1.6442871
12.4800005,0.8630371,1.661377
12.583999,0.88134766,1.6809082
12.687999,0.92163086,1.5441895
12.792,0.7446289,1.4855957
12.895999,0.68603516,1.427002
13.0,0.64697266,1.3879395
13.104,0.5895996,1.3293457
13.207998,0.5493164,1.2902832
13.311998,0.5114746,1.2536621
13.415999,0.4699707,1.2133789
13.519999,0.44921875,1.1743164
13.624,0.41137695,1.1352539
13.728,0.37475586,1.0974121
13.831999,0.3552246,1.0778809
13.936,0.33203125,1.0546875
14.039999,0.29296875,1.015625
14.143999,0.2746582,0.99609375
14.247999,0.25390625,0.95947266
14.351999,0.2355957,0.9375
14.455999,0.21728516,0.92163086
14.559999,0.1977539,0.9020996
14.6640005,0.17700195,0.87890625
14.767999,0.1586914,0.8605957
14.871999,0.13671875,0.84228516
14.976,0.13793945,0.8227539
15.079999,0.1184082,0.80078125
15.184,0.061035156,0.92163086
15.288,0.21606445,0.9765625
15.391998,0.2734375,1.0351562
15.495998,0.3149414,1.0949707
